"","city","data_date","id","neighbourhood_cleansed","latitude","longitude","property_type","room_type","accommodates","bedrooms","beds","price","minimum_nights","maximum_nights","availability_30","availability_60","availability_90","availability_365","price_30","price_60","price_90","price_365","revenue_30","revenue_60","revenue_90","revenue_365"
"3675","bologna","2020-08-31",42591045,"Porto - Saragozza",44.49867,11.33715,"Entire apartment","Entire home/apt","3","",2,"$872.00","1",1125,0,0,0,0,872,872,872,872,26160,52320,78480,318280
"3676","bologna","2020-08-31",42594457,"Navile",44.51038,11.35484,"Entire loft","Entire home/apt","2","1",2,"$30.00","20",31,0,23,24,24,30,30,30,30,900,1110,1980,10230
"3677","bologna","2020-08-31",42594794,"Porto - Saragozza",44.50172,11.32358,"Entire apartment","Entire home/apt","3","1",1,"$109.00","3",1125,30,60,90,365,NA,NA,NA,NA,0,0,0,0
"3678","bologna","2020-08-31",42598852,"San Donato - San Vitale",44.50027,11.37049,"Entire apartment","Entire home/apt","4","1",1,"$441.00","3",360,0,0,0,275,172.5,131.3,117.533333333333,117.533333333333,5175,7878,10578,10578
"3679","bologna","2020-08-31",42599607,"Porto - Saragozza",44.49551,11.33711,"Entire apartment","Entire home/apt","4","1",2,"$54.00","1",1125,0,0,0,31,64.4333333333333,66.5333333333333,66.2444444444444,220.494011976048,1933,3992,5962,73645
"3680","bologna","2020-08-31",42599614,"Porto - Saragozza",44.49601,11.33097,"Entire apartment","Entire home/apt","2","1",1,"$50.00","2",30,0,0,0,1,50,50,50,50,1500,3000,4500,18200
"3681","bologna","2020-08-31",42601628,"Porto - Saragozza",44.49913,11.32625,"Entire apartment","Entire home/apt","4","1",2,"$57.00","1",150,21,51,81,152,56,56,56,146.028169014085,504,504,504,31104
"3682","bologna","2020-08-31",42602360,"Porto - Saragozza",44.49884,11.32662,"Entire apartment","Entire home/apt","4","1",2,"$57.00","1",180,17,41,71,143,56.7692307692308,59.6842105263158,59.6842105263158,919.522522522523,738,1134,1134,204134
"3683","bologna","2020-08-31",42614420,"Porto - Saragozza",44.50083,11.32593,"Entire apartment","Entire home/apt","4","",2,"$53.00","1",150,9,38,68,140,56.2857142857143,56.3636363636364,56.3636363636364,140.844444444444,1182,1240,1240,31690
"3684","bologna","2020-08-31",42615990,"Porto - Saragozza",44.49905,11.33988,"Entire condominium","Entire home/apt","6","2",3,"$61.00","1",1125,26,54,84,174,66.75,75.1666666666667,75.1666666666667,1861,267,451,451,355451
"3685","bologna","2020-08-31",42622651,"Porto - Saragozza",44.50088,11.32163,"Private room in condominium","Private room","2","1",1,"$30.00","1",1125,30,60,90,90,NA,NA,NA,30,0,0,0,8250
"3686","bologna","2020-08-31",42651331,"Porto - Saragozza",44.4951,11.3359,"Entire apartment","Entire home/apt","7","3",6,"$67.00","1",30,30,60,88,126,NA,NA,90,581.799163179916,0,0,180,139050
"3687","bologna","2020-08-31",42653011,"Porto - Saragozza",44.50491,11.3401,"Private room in apartment","Private room","2","1",1,"$39.00","1",20,0,0,0,57,39,39,39.3333333333333,39.237012987013,1170,2340,3540,12085
"3688","bologna","2020-08-31",42655515,"Navile",44.5099,11.35565,"Entire apartment","Entire home/apt","6","3",3,"$180.00","1",14,30,60,90,180,NA,NA,NA,180,0,0,0,33300
"3689","bologna","2020-08-31",42664474,"Porto - Saragozza",44.50559,11.34101,"Private room in apartment","Private room","3","1",2,"$45.00","1",365,1,1,2,275,45,45,45,45,1305,2655,3960,4050
