"","city","data_date","id","neighbourhood_cleansed","latitude","longitude","property_type","room_type","accommodates","bedrooms","beds","price","minimum_nights","maximum_nights","availability_30","availability_60","availability_90","availability_365","price_30","price_60","price_90","price_365","revenue_30","revenue_60","revenue_90","revenue_365"
"7809","naples","2020-09-25",44311988,"San Ferdinando",40.83699,14.24504,"Entire apartment","Entire home/apt",4,2,3,"$36.00",2,28,23,51,81,356,42.4285714285714,41.8888888888889,41.8888888888889,41.8888888888889,297,377,377,377
"7810","naples","2020-09-25",44313807,"Chiaiano",40.88366,14.22884,"Private room in bed and breakfast","Private room",4,1,3,"$30.00",1,1125,22,52,82,354,29.125,29.125,29.125,29.0909090909091,233,233,233,320
"7811","naples","2020-09-25",44314366,"Chiaiano",40.88264,14.23054,"Private room in bed and breakfast","Private room",3,NA,2,"$30.00",1,1125,22,52,82,354,30,30,30,30,240,240,240,330
"7812","naples","2020-09-25",44314618,"Chiaiano",40.88398,14.22977,"Private room in bed and breakfast","Private room",2,NA,1,"$30.00",1,1125,25,55,85,357,30,30,30,30,150,150,150,240
"7813","naples","2020-09-25",44317688,"San Lorenzo",40.85425,14.25852,"Entire house","Entire home/apt",7,3,6,"$21.00",2,15,30,60,80,80,NA,NA,18.1,27.9228070175439,0,0,181,7958
"7814","naples","2020-09-25",44328948,"Pendino",40.84838,14.26189,"Entire loft","Entire home/apt",4,1,2,"$81.00",1,1125,28,58,88,363,77,77,77,77,154,154,154,154
"7815","naples","2020-09-25",44329211,"Mercato",40.84946,14.2724,"Entire apartment","Entire home/apt",5,1,3,"$51.00",3,1125,29,59,89,123,51,51,51,51,51,51,51,12342
"7816","naples","2020-09-25",44329389,"San Ferdinando",40.83738,14.24688,"Entire house","Entire home/apt",3,1,2,"$23.00",2,28,12,37,61,328,23,23,23.4137931034483,23.4864864864865,414,529,679,869
"7817","naples","2020-09-25",44330491,"Stella",40.85613,14.24916,"Entire apartment","Entire home/apt",5,1,2,"$52.00",2,1125,0,1,17,17,52,51.8813559322034,51.8767123287671,51.9022988505747,1560,3061,3787,18062
"7818","naples","2020-09-25",44338900,"San Carlo all'Arena",40.87139,14.25821,"Private room in villa","Private room",4,4,2,"$65.00",2,28,27,57,87,362,65,65,65,65,195,195,195,195
"7819","naples","2020-09-25",44346050,"Pendino",40.84735,14.26247,"Entire serviced apartment","Entire home/apt",4,1,2,"$50.00",2,90,7,34,64,337,50,50,50,50,1150,1300,1300,1400
"7820","naples","2020-09-25",44357226,"San Lorenzo",40.85437,14.26157,"Private room in bed and breakfast","Private room",8,3,5,"$150.00",1,1125,25,55,85,360,150,150,150,150,750,750,750,750
"7821","naples","2020-09-25",44364338,"Zona Industriale",40.84976,14.27452,"Entire apartment","Entire home/apt",4,2,3,"$35.00",1,1125,0,0,0,74,35,35,35,35,1050,2100,3150,10185
"7822","naples","2020-09-25",44366350,"San Carlo all'Arena",40.85849,14.25454,"Private room in bed and breakfast","Private room",2,1,1,"$102.00",1,1125,30,60,90,365,NA,NA,NA,NA,0,0,0,0
"7823","naples","2020-09-25",44368050,"Pendino",40.84745,14.26029,"Entire apartment","Entire home/apt",5,3,3,"$70.00",1,1125,22,52,82,357,74,74,74,74,592,592,592,592
"7824","naples","2020-09-25",44369097,"Pendino",40.84575,14.26047,"Entire apartment","Entire home/apt",5,3,4,"$58.00",1,1125,0,0,0,275,57.2,54.8,53.8777777777778,53.8777777777778,1716,3288,4849,4849
"7825","naples","2020-09-25",44371848,"San Carlo all'Arena",40.86804,14.27067,"Private room in condominium","Private room",1,1,1,"$21.00",1,365,17,42,72,260,20.3846153846154,20.2777777777778,20.2777777777778,32.4761904761905,265,365,365,3410
"7826","naples","2020-09-25",44372186,"Stella",40.85809,14.24546,"Entire house","Entire home/apt",4,1,2,"$50.00",2,14,30,60,90,90,NA,NA,NA,50,0,0,0,13750
"7827","naples","2020-09-25",44372508,"San Carlo all'Arena",40.86933,14.27103,"Private room in condominium","Private room",2,1,1,"$25.00",1,365,28,57,87,275,25,25,25,39.5,50,75,75,3555
"7828","naples","2020-09-25",44372617,"San Carlo all'Arena",40.86768,14.27104,"Private room in condominium","Private room",3,1,3,"$30.00",1,365,30,60,90,277,NA,NA,NA,55,0,0,0,4840
"7829","naples","2020-09-25",44373019,"San Carlo all'Arena",40.86798,14.26989,"Private room in condominium","Private room",4,1,1,"$35.00",1,1125,30,60,90,90,NA,NA,NA,35.3818181818182,0,0,0,9730
"7830","naples","2020-09-25",44377684,"Montecalvario",40.84472,14.24561,"Entire apartment","Entire home/apt",5,1,3,"$36.00",1,1125,0,0,0,85,45,45,45,45,1350,2700,4050,12600
"7831","naples","2020-09-25",44378593,"Mercato",40.85109,14.27223,"Entire apartment","Entire home/apt",6,1,4,"$35.00",1,1125,28,56,86,356,35,35,35,35,70,140,140,315
"7832","naples","2020-09-25",44379076,"San Carlo all'Arena",40.86588,14.26661,"Entire house","Entire home/apt",4,1,2,"$35.00",1,1125,0,0,0,0,35,35.3333333333333,38.5555555555556,35.9041095890411,1050,2120,3470,13105
