"","city","data_date","id","neighbourhood_cleansed","latitude","longitude","property_type","room_type","accommodates","bedrooms","beds","price","minimum_nights","maximum_nights","availability_30","availability_60","availability_90","availability_365","price_30","price_60","price_90","price_365","revenue_30","revenue_60","revenue_90","revenue_365"
"6274","sevilla","2020-06-29",42632870,"Arenal",37.38779,-5.99696,"Apartment","Entire home/apt",4,2,3,"$168.00",1,1125,30,60,90,354,NA,NA,NA,860.181818181818,0,0,0,9462
"6275","sevilla","2020-06-29",42636397,"Triana Oeste",37.38401,-6.00696,"Apartment","Entire home/apt",4,2,3,"$90.00",2,1125,30,60,90,186,NA,NA,NA,90,0,0,0,16110
"6276","sevilla","2020-06-29",42651075,"Encarnación, Regina",37.39392,-5.98906,"Apartment","Entire home/apt",4,1,2,"$40.00",1,1125,30,60,90,365,NA,NA,NA,NA,0,0,0,0
"6277","sevilla","2020-06-29",42652882,"San Gil",37.40141,-5.99362,"Apartment","Entire home/apt",4,1,3,"$60.00",2,1125,0,0,0,0,66.6666666666667,66.6666666666667,67.2222222222222,67.1232876712329,2000,4000,6050,24500
"6278","sevilla","2020-06-29",42653476,"Doctor Barraquer, G. Renfe, Policlínico",37.40421,-5.98739,"Apartment","Entire home/apt",4,2,3,"$590.00",3,1125,30,60,64,308,NA,NA,97.1923076923077,3978.52631578947,0,0,2527,226776
"6279","sevilla","2020-06-29",42653482,"an Roque",37.39019,-5.98278,"Apartment","Entire home/apt",2,0,1,"$45.00",1,1125,29,59,89,363,45,45,45,82.5,45,45,45,165
"6280","sevilla","2020-06-29",42658644,"Alfalfa",37.39161,-5.99407,"Apartment","Entire home/apt",4,1,2,"$60.00",3,90,29,59,89,179,60,60,60,60,60,60,60,11160
"6281","sevilla","2020-06-29",42661112,"Museo",37.39284,-6.00111,"Apartment","Entire home/apt",4,2,3,"$68.00",2,1125,0,0,0,0,71.2,71.2,71.4666666666667,71.4191780821918,2136,4272,6432,26068
"6282","sevilla","2020-06-29",42666991,"Alfalfa",37.38893,-5.99102,"Apartment","Entire home/apt",4,0,0,"$150.00",2,1125,3,3,3,3,150,150,150,150,4050,8550,13050,54300
"6283","sevilla","2020-06-29",42668896,"Triana Casco Antiguo",37.38626,-6.00652,"Apartment","Entire home/apt",4,2,2,"$90.00",3,1125,23,53,83,83,90,90,90,90,630,630,630,25380
"6284","sevilla","2020-06-29",42673369,"an Roque",37.39128,-5.98219,"Apartment","Private room",3,2,2,"$37.00",2,1125,16,32,59,237,38.4285714285714,38.4285714285714,38.6129032258064,38.484375,538,1076,1197,4926
"6285","sevilla","2020-06-29",42673436,"an Roque",37.39119,-5.98142,"Apartment","Entire home/apt",5,3,3,"$75.00",2,1125,7,15,23,148,75.4347826086957,75.2222222222222,75.1492537313433,75.0460829493088,1735,3385,5035,16285
"6286","sevilla","2020-06-29",42674595,"Arenal",37.38772,-5.99897,"Villa","Entire home/apt",8,4,6,"$400.00",1,1125,30,60,90,344,NA,NA,NA,495.238095238095,0,0,0,10400
"6287","sevilla","2020-06-29",42675469,"San Bartolomé",37.38617,-5.98571,"Loft","Entire home/apt",2,0,1,"$50.00",2,1125,30,60,90,180,NA,NA,NA,69.7945945945946,0,0,0,12912
"6288","sevilla","2020-06-29",42677216,"San Bartolomé",37.39047,-5.98645,"Apartment","Entire home/apt",4,1,1,"$80.00",3,1125,29,59,89,89,80,80,80,80,80,80,80,22080
"6289","sevilla","2020-06-29",42683444,"Triana Casco Antiguo",37.38915,-6.00752,"Apartment","Entire home/apt",4,1,2,"$2,000.00",2,1125,30,52,82,237,NA,59.375,59.375,1878.7109375,0,475,475,240475
"6290","sevilla","2020-06-29",42691240,"San José Obrero",37.39415,-5.98172,"Apartment","Private room",1,1,1,"$15.00",60,1125,30,60,90,365,NA,NA,NA,NA,0,0,0,0
"6291","sevilla","2020-06-29",42691808,"San José Obrero",37.39455,-5.97963,"Apartment","Private room",1,1,1,"$30.00",60,365,30,60,90,365,NA,NA,NA,NA,0,0,0,0
"6292","sevilla","2020-06-29",42692315,"Triana Casco Antiguo",37.38606,-6.00708,"Apartment","Entire home/apt",4,1,1,"$45.00",2,1125,29,59,89,89,45,45,45,45,45,45,45,12420
"6293","sevilla","2020-06-29",42695955,"Triana Casco Antiguo",37.3853,-6.0042,"Apartment","Entire home/apt",4,2,3,"$50.00",2,15,30,50,80,161,NA,47.2,47.2,49.8627450980392,0,472,472,10172
"6294","sevilla","2020-06-29",42698379,"Alfalfa",37.38996,-5.99147,"Apartment","Entire home/apt",4,1,1,"$65.00",1,1125,0,0,0,26,77.2666666666667,77.2,75.5777777777778,72.9026548672566,2318,4632,6802,24714
"6295","sevilla","2020-06-29",42700023,"Feria",37.39776,-5.99041,"Apartment","Entire home/apt",6,2,3,"$60.00",1,1125,29,59,89,352,54,54,54,1388.76923076923,54,54,54,18054
"6296","sevilla","2020-06-29",42700193,"La Florida",37.38483,-5.9836,"Apartment","Entire home/apt",4,1,1,"$69.00",1,1125,0,0,0,0,69,69,69,69,2070,4140,6210,25185
"6297","sevilla","2020-06-29",42700777,"Museo",37.38989,-5.99811,"House","Entire home/apt",15,6,2,"$500.00",2,28,30,49,49,49,NA,518.181818181818,553.658536585366,556.329113924051,0,5700,22700,175800
"6298","sevilla","2020-06-29",42701974,"San Vicente",37.39433,-5.9994,"Apartment","Entire home/apt",4,2,3,"$98.00",2,59,28,58,75,230,98,98,109.866666666667,108.637037037037,196,196,1648,14666
"6299","sevilla","2020-06-29",42706594,"San Lorenzo",37.39805,-5.99801,"Apartment","Entire home/apt",2,1,1,"$300.00",1,365,0,0,0,0,41.1333333333333,41.1666666666667,43.0444444444444,207.602739726027,1234,2470,3874,75775
"6300","sevilla","2020-06-29",42707510,"San Vicente",37.39388,-6.00158,"Condominium","Private room",2,1,NA,"$85.00",1,1125,0,0,0,0,85,85,85,85,2550,5100,7650,31025
"6301","sevilla","2020-06-29",42709401,"San Bartolomé",37.38685,-5.98694,"Apartment","Entire home/apt",4,1,1,"$522.00",1,1125,0,1,1,1,53,289.525423728814,384.067415730337,524.538461538462,1590,17082,34182,190932
"6302","sevilla","2020-06-29",42709406,"Encarnación, Regina",37.3935,-5.99412,"Apartment","Entire home/apt",4,1,1,"$150.00",2,120,24,46,75,109,75,72.1428571428571,72.6666666666667,145.46875,450,1010,1090,37240
"6303","sevilla","2020-06-29",42711615,"San Lorenzo",37.39742,-5.99647,"Apartment","Entire home/apt",4,1,1,"$300.00",1,365,0,0,0,0,49.4666666666667,49.5333333333333,55.3333333333333,215.493150684931,1484,2972,4980,78655
"6304","sevilla","2020-06-29",42729180,"Santa Catalina",37.39561,-5.98506,"Apartment","Entire home/apt",6,2,5,"$25.00",1,1125,27,57,87,239,30,30,30,392.02380952381,90,90,90,49395
"6305","sevilla","2020-06-29",42730357,"Santa Catalina",37.39301,-5.98582,"Apartment","Entire home/apt",4,1,2,"$80.00",2,365,30,58,73,216,NA,81,81,86.1677852348993,0,162,1377,12839
"6306","sevilla","2020-06-29",42732507,"San Gil",37.40208,-5.99374,"House","Private room",1,1,2,"$12.00",60,1125,0,27,57,332,12,12,12,12,360,396,396,396
"6307","sevilla","2020-06-29",42741319,"Arenal",37.38847,-5.99695,"Apartment","Entire home/apt",7,3,4,"$150.00",2,1125,0,0,0,84,150,150,150,150,4500,9000,13500,42150
"6308","sevilla","2020-06-29",42742834,"San Lorenzo",37.39916,-5.99626,"Apartment","Entire home/apt",5,3,4,"$70.00",1,1125,30,60,90,363,NA,NA,NA,90,0,0,0,180
"6309","sevilla","2020-06-29",42743060,"Arenal",37.38833,-5.99561,"Apartment","Entire home/apt",3,1,3,"$90.00",2,1125,18,46,76,256,56.6666666666667,56.4285714285714,56.4285714285714,87.743119266055,680,790,790,9564
"6310","sevilla","2020-06-29",42749809,"Feria",37.39637,-5.98913,"Apartment","Entire home/apt",2,1,1,"$52.00",1,1125,28,58,88,363,52,52,52,52,104,104,104,104
"6311","sevilla","2020-06-29",42749989,"an Roque",37.39155,-5.98367,"Apartment","Entire home/apt",3,2,3,"$75.00",2,30,30,60,90,90,NA,NA,NA,75,0,0,0,20625
"6312","sevilla","2020-06-29",42751219,"Nervión",37.37762,-5.9737,"Apartment","Entire home/apt",6,2,5,"$68.00",2,1125,30,60,90,186,NA,NA,NA,110,0,0,0,19690
"6313","sevilla","2020-06-29",42752458,"Villegas",37.40945,-5.97732,"Apartment","Entire home/apt",4,2,3,"$38.00",1,1125,30,60,90,90,NA,NA,NA,39.7018181818182,0,0,0,10918
"6314","sevilla","2020-06-29",42755471,"Los Remedios",37.37863,-5.99895,"Apartment","Entire home/apt",6,3,6,"$1,000.00",2,30,30,60,90,365,NA,NA,NA,NA,0,0,0,0
"6315","sevilla","2020-06-29",42761209,"Alfalfa",37.39086,-5.9915,"Apartment","Entire home/apt",3,1,2,"$60.00",3,1125,29,59,89,359,40,40,40,56.6666666666667,40,40,40,340
"6316","sevilla","2020-06-29",42767895,"San Julián",37.39695,-5.9832,"Apartment","Entire home/apt",3,2,0,"$60.00",1,30,23,53,57,57,54.2857142857143,54.2857142857143,58.7878787878788,59.8701298701299,380,380,1940,18440
"6317","sevilla","2020-06-29",42771424,"Doctor Barraquer, G. Renfe, Policlínico",37.40699,-5.99031,"Apartment","Entire home/apt",4,2,2,"$500.00",2,1125,30,60,90,365,NA,NA,NA,NA,0,0,0,0
"6318","sevilla","2020-06-29",42773976,"San Bartolomé",37.38606,-5.98784,"Apartment","Entire home/apt",6,2,3,"$120.00",10,1125,23,53,83,358,120,120,120,120,840,840,840,840
"6319","sevilla","2020-06-29",42786521,"Triana Este",37.37758,-6.00266,"Apartment","Private room",1,1,1,"$17.00",2,1125,28,58,88,363,17,17,17,17,34,34,34,34
"6320","sevilla","2020-06-29",42800355,"Museo",37.38811,-6.0028,"Apartment","Entire home/apt",2,1,2,"$75.00",1,180,28,30,30,30,47,47,49.9166666666667,77.7611940298507,94,1410,2995,26050
"6321","sevilla","2020-06-29",42803124,"Santa Cruz",37.38664,-5.99086,"Apartment","Private room",2,1,1,"$180.00",1,1125,29,51,67,319,72,72,81.5652173913043,82,72,648,1876,3772
"6322","sevilla","2020-06-29",42803146,"Santa Cruz",37.3867,-5.98976,"Apartment","Entire home/apt",4,2,3,"$200.00",1,90,29,59,87,355,81,81,126.333333333333,109.8,81,81,379,1098
"6323","sevilla","2020-06-29",42803148,"Santa Cruz",37.3851,-5.99073,"Apartment","Entire home/apt",6,2,3,"$200.00",1,1125,26,54,76,349,85,83.6666666666667,92.4285714285714,92,340,502,1294,1472
"6324","sevilla","2020-06-29",42804025,"Alfalfa",37.39159,-5.99547,"Apartment","Entire home/apt",4,1,1,"$150.00",2,15,30,60,82,317,NA,NA,110.5,486.895833333333,0,0,884,23371
"6325","sevilla","2020-06-29",42804613,"Alfalfa",37.391,-5.99487,"Apartment","Entire home/apt",4,1,1,"$150.00",1,15,0,0,0,53,85.2,100.883333333333,108.577777777778,671.987179487179,2556,6053,9772,209660
"6326","sevilla","2020-06-29",42811071,"Arenal",37.38654,-5.99434,"Apartment","Entire home/apt",6,2,3,"$300.00",1,1125,29,59,82,223,70,70,87.5,275.56338028169,70,70,700,39130
"6327","sevilla","2020-06-29",42812377,"Santa Cruz",37.38218,-5.99642,"Apartment","Entire home/apt",6,3,4,"$1,000.00",2,30,29,59,85,169,208,208,841.6,995.959183673469,208,208,4208,195208
"6328","sevilla","2020-06-29",42813043,"Juan XXIII",37.37359,-5.95141,"House","Private room",2,1,1,"$45.00",1,1125,20,50,80,355,45,45,45,45,450,450,450,450
"6329","sevilla","2020-06-29",42813445,"Juan XXIII",37.37553,-5.95131,"House","Private room",2,1,0,"$45.00",1,1125,30,60,90,365,NA,NA,NA,NA,0,0,0,0
"6330","sevilla","2020-06-29",42828724,"San Lorenzo",37.40008,-5.99569,"Apartment","Private room",1,1,NA,"$30.00",1,1125,30,60,90,90,NA,NA,NA,30,0,0,0,8250
"6331","sevilla","2020-06-29",42829523,"Bami",37.36031,-5.97606,"Apartment","Entire home/apt",6,3,5,"$77.00",2,60,30,60,64,64,NA,NA,77,77,0,0,2002,23177
"6332","sevilla","2020-06-29",42837883,"Triana Casco Antiguo",37.38256,-6.0016,"Apartment","Entire home/apt",4,2,3,"$98.00",2,1125,28,58,88,178,98,98,98,102.657754010695,196,196,196,19197
"6333","sevilla","2020-06-29",42847971,"Heliópolis",37.35548,-5.98337,"Bed and breakfast","Private room",2,1,1,"$80.00",1,6,30,60,90,180,NA,NA,NA,80,0,0,0,14800
"6334","sevilla","2020-06-29",42848207,"San Vicente",37.39534,-5.99671,"Apartment","Entire home/apt",5,2,3,"$100.00",2,999,30,60,90,353,NA,NA,NA,219.833333333333,0,0,0,2638
"6335","sevilla","2020-06-29",42848249,"Alfalfa",37.39093,-5.9888,"Apartment","Entire home/apt",6,2,3,"$69.00",2,1125,26,56,86,354,71.25,71.25,71.25,147.909090909091,285,285,285,1627
"6336","sevilla","2020-06-29",42850237,"San Bartolomé",37.38913,-5.98517,"Apartment","Entire home/apt",2,1,3,"$84.00",1,28,30,60,90,365,NA,NA,NA,NA,0,0,0,0
"6337","sevilla","2020-06-29",42856363,"San Lorenzo",37.39763,-5.99637,"Apartment","Entire home/apt",4,1,3,"$50.00",2,1125,29,49,79,178,35,35,35,51.2566844919786,35,385,385,9585
"6338","sevilla","2020-06-29",42857660,"Encarnación, Regina",37.39596,-5.99513,"Apartment","Entire home/apt",6,2,3,"$55.00",1,45,22,52,82,118,90.625,90.625,90.625,545.526315789474,725,725,725,134745
"6339","sevilla","2020-06-29",42858377,"San Bartolomé",37.38739,-5.98878,"House","Private room",2,1,1,"$65.00",2,1125,29,59,89,154,45,45,45,64.9052132701422,45,45,45,13695
"6340","sevilla","2020-06-29",42858842,"Triana Casco Antiguo",37.38363,-6.00124,"Apartment","Entire home/apt",4,2,3,"$135.00",2,1125,29,59,89,179,85,85,85,134.731182795699,85,85,85,25060
"6341","sevilla","2020-06-29",42861236,"San Gil",37.40121,-5.99046,"Tiny house","Entire home/apt",4,1,2,"$70.00",1,1125,30,60,90,302,NA,NA,NA,871.984126984127,0,0,0,54935
"6342","sevilla","2020-06-29",42868267,"San Lorenzo",37.39989,-5.99447,"Apartment","Entire home/apt",2,1,1,"$600.00",1,365,0,0,0,0,53.6666666666667,52.8,53.7111111111111,324.52602739726,1610,3168,4834,118452
"6343","sevilla","2020-06-29",42869095,"San Lorenzo",37.4003,-5.99456,"Apartment","Entire home/apt",4,2,3,"$600.00",1,365,3,3,3,3,53.7407407407407,52.7894736842105,53.735632183908,326.776243093923,1451,3009,4675,118293
"6344","sevilla","2020-06-29",42873287,"Feria",37.39745,-5.99141,"Apartment","Entire home/apt",6,2,3,"$100.00",2,999,28,56,71,346,57,57,92.7894736842105,92.7894736842105,114,228,1763,1763
"6345","sevilla","2020-06-29",42876883,"Doctor Barraquer, G. Renfe, Policlínico",37.40361,-5.99021,"House","Entire home/apt",8,4,5,"$55.00",3,1125,30,60,90,365,NA,NA,NA,NA,0,0,0,0
"6346","sevilla","2020-06-29",42880388,"Feria",37.39925,-5.99275,"Apartment","Entire home/apt",4,2,2,"$85.00",2,30,30,60,81,335,NA,NA,115.333333333333,117.466666666667,0,0,1038,3524
"6347","sevilla","2020-06-29",42887381,"Triana Este",37.3804,-6.00077,"House","Entire home/apt",2,1,3,"$75.00",1,28,30,60,90,365,NA,NA,NA,NA,0,0,0,0
"6348","sevilla","2020-06-29",42912327,"Triana Oeste",37.38123,-6.01143,"Apartment","Entire home/apt",4,2,3,"$90.00",2,1125,22,52,56,56,70,70,85.2941176470588,89.4822006472492,560,560,2900,27650
